営業担当,予測_翌月成約数
三浦翔太,3.1
三浦陽菜,7.0
中島さくら,5.8
中島和也,8.5
中村健太,4.6
中村彩,3.6
中村湊,6.5
伊藤和也,3.6
佐々木千尋,7.2
佐々木拓海,3.1
佐々木陽斗,4.9
佐藤周治,9.9
兵頭大志,14.0
前田亮,4.4
前田麻衣,7.7
坂本桃子,10.0
坂本涼介,7.7
大林ふみ,11.5
山口駿,5.8
山崎桃子,8.1
山崎裕子,5.5
山崎麻衣,9.5
山本陽斗,6.6
山田亮,6.1
山田健太,7.5
岡本結衣,7.2
岡田陽菜,8.5
川端須開,7.8
後藤大和,10.1
後藤彩,6.9
後藤拓海,10.5
斎藤貴大,3.4
木村結衣,3.2
松本拓海,4.2
松田美咲,9.2
森健太,7.8
森美咲,5.3
橋本智也,10.8
橋本蓮,7.7
橋本駿,8.0
橋本麻衣,10.6
清水桃子,7.0
清水真由,7.2
渡辺和也,4.9
渡辺彩花,9.4
渡辺直樹,7.0
渡辺陽菜,5.1
濵田隼人,9.4
田中奈々,4.9
田中彩花,4.7
田中直樹,8.2
田中結衣,2.4
田中翔太,8.7
石川奈々,3.4
石川拓海,6.3
石川涼介,7.2
石川結衣,5.2
藤井さくら,4.7
藤井涼介,6.0
藤井葵,7.5
藤田翔太,8.4
藤田葵,1.7
西村さくら,9.1
西村拓海,8.4
西村翔太,6.5
谷本りゅうき,2.7
近藤大和,5.8
近藤蓮,9.5
遠藤悠真,5.8
遠藤拓海,4.8
遠藤蓮,11.7
鈴木奈々,5.7
青木大和,5.5
高橋翔太,4.9
黒須ひろとし,2.6
